,Champion Avg,Non-Champion Avg,Difference
AvAge,28.544,28.048370273794,0.4956297262060012
PTS,104.0,86.85919165580182,17.140808344198177
PTS%,0.65988,0.5483363754889179,0.11154362451108213
GF,242.88,223.97131681877445,18.90868318122554
GA,196.96,225.47066492829205,-28.510664928292044
SRS,0.5724,-0.018644067796610167,0.5910440677966102
GF/G,3.0744000000000007,2.8258539765319424,0.24854602346805832
GA/G,2.4836,2.8450847457627124,-0.3614847457627124
PP%,19.637600000000003,18.628852672750977,1.0087473272490257
PPA,46.24,52.60495436766623,-6.364954367666229
PK%,83.3176,81.23565840938723,2.0819415906127716
SH,8.0,6.938722294654498,1.0612777053455016
S,2521.88,2347.4823989569754,174.39760104302468
S%,9.68,9.54432855280313,0.13567144719687008
SA,2230.48,2357.0104302477184,-126.53043024771841
SV%,0.91156,0.9043324641460235,0.007227535853976508
Year,2012.8,2013.5306388526728,-0.7306388526728824
IsChamp,1.0,0.0,1.0
