Team,AvAge,PTS,PTS%,GF,GA,SRS,GF/G,GA/G,PP%,PPA,PK%,SH,S,S%,SA,SV%,Year,IsChamp
St. Louis Blues*,28.7,114,0.695,248,165,1.08,3.02,2.01,17.84,42,87.83,13,2445,10.1,1814,0.909,2000,False
Detroit Red Wings*,30.7,108,0.659,278,210,0.88,3.39,2.56,20.41,44,85.85,15,2620,10.6,2169,0.903,2000,False
Philadelphia Flyers*,29.0,105,0.64,237,179,0.58,2.89,2.18,20.29,42,86.71,7,2495,9.5,1938,0.908,2000,False
New Jersey Devils*,27.8,103,0.628,251,203,0.46,3.06,2.48,20.07,39,87.54,9,2717,9.2,2100,0.903,2000,True
Washington Capitals*,29.0,102,0.622,227,194,0.28,2.77,2.37,14.98,47,86.22,9,2269,10.0,2270,0.915,2000,False
Dallas Stars*,28.8,102,0.622,211,184,0.41,2.57,2.24,15.74,33,89.25,9,2099,10.1,2183,0.916,2000,False
Toronto Maple Leafs*,28.2,100,0.61,246,222,0.25,3.0,2.71,17.76,58,82.42,11,2160,11.4,2386,0.907,2000,False
Florida Panthers*,27.6,98,0.598,244,209,0.28,2.98,2.55,17.16,47,85.45,2,2198,11.1,2431,0.914,2000,False
Colorado Avalanche*,27.4,96,0.585,233,201,0.46,2.84,2.45,19.54,52,84.48,3,2187,10.7,2282,0.912,2000,False
Ottawa Senators*,27.4,95,0.579,244,210,0.3,2.98,2.56,16.77,34,87.55,6,2584,9.4,2064,0.898,2000,False
Los Angeles Kings*,28.0,94,0.573,245,228,0.3,2.99,2.78,16.85,66,82.31,4,2421,10.1,2290,0.9,2000,False
Phoenix Coyotes*,29.6,90,0.549,232,228,0.15,2.83,2.78,11.94,43,85.95,14,2212,10.5,2334,0.902,2000,False
Pittsburgh Penguins*,26.8,88,0.537,241,236,-0.03,2.94,2.88,15.61,56,82.55,7,2137,11.3,2356,0.9,2000,False
Edmonton Oilers*,26.0,88,0.537,226,212,0.22,2.76,2.59,15.77,54,85.37,9,2310,9.8,2318,0.909,2000,False
San Jose Sharks*,27.6,87,0.53,225,214,0.23,2.74,2.61,16.45,61,83.6,16,2248,10.0,2357,0.909,2000,False
Buffalo Sabres*,26.5,85,0.518,213,204,0.01,2.6,2.49,10.54,54,85.04,8,2228,9.6,2207,0.908,2000,False
Carolina Hurricanes,29.4,84,0.512,217,216,-0.1,2.65,2.63,16.96,40,84.19,3,2161,10.0,2141,0.899,2000,False
Vancouver Canucks,27.0,83,0.506,227,237,-0.01,2.77,2.89,15.79,63,80.43,9,2187,10.4,2292,0.897,2000,False
Montreal Canadiens,27.6,83,0.506,196,194,-0.06,2.39,2.37,16.72,40,86.75,7,2135,9.2,2264,0.914,2000,False
Mighty Ducks of Anaheim,27.6,83,0.506,217,227,0.02,2.65,2.77,16.57,62,79.05,4,2352,9.2,2259,0.9,2000,False
Chicago Blackhawks,27.1,78,0.476,242,245,0.1,2.95,2.99,16.0,58,83.66,10,2106,11.5,2397,0.898,2000,False
